x,y
0.000000000000000000e+00,0.000000000000000000e+00
1.407843204913648534e-03,3.311339340541370985e-04
2.815686409827297069e-03,6.599159606471446905e-04
4.223529614740945820e-03,9.863486872371740252e-04
5.631372819654594138e-03,1.310434698839203164e-03
7.039216024568243323e-03,1.632176558134405386e-03
8.447059229481891640e-03,1.951576805577801520e-03
9.854902434395539090e-03,2.268637959505802500e-03
1.126274563930918828e-02,2.583362516241579070e-03
1.267058884422283746e-02,2.895752950199521197e-03
1.407843204913648665e-02,3.205811713989237775e-03
1.548627525405013583e-02,3.513541238517504158e-03
1.689411845896378328e-02,3.818943933089524040e-03
1.830196166387743420e-02,4.122022185508590619e-03
1.970980486879107818e-02,4.422778362175753403e-03
2.111764807370472910e-02,4.721214808187194738e-03
2.252549127861837655e-02,5.017333847430924601e-03
2.393333448353202747e-02,5.311137782682566824e-03
2.534117768844567492e-02,5.602628895700221580e-03
2.674902089335932237e-02,5.891809447317513347e-03
2.815686409827297329e-02,6.178681677536396882e-03
2.956470730318662074e-02,6.463247805618609239e-03
3.097255050810027166e-02,6.745510030175736610e-03
3.238039371301391911e-02,7.025470529259063464e-03
3.378823691792756656e-02,7.303131460447589811e-03
3.519608012284121401e-02,7.578494960935477746e-03
3.660392332775486840e-02,7.851563147618589866e-03
3.801176653266851585e-02,8.122338117179765671e-03
3.941960973758215636e-02,8.390821946172728404e-03
4.082745294249581075e-02,8.657016691106227818e-03
4.223529614740945820e-02,8.920924388526343257e-03
4.364313935232311259e-02,9.182547055097547289e-03
4.505098255723675310e-02,9.441886687683408511e-03
4.645882576215040055e-02,9.698945263426629951e-03
4.786666896706405494e-02,9.953724739827240001e-03
4.927451217197770239e-02,1.020622705482045374e-02
5.068235537689134984e-02,1.045645412685316383e-02
5.209019858180499729e-02,1.070440785496088419e-02
5.349804178671864474e-02,1.095009011884149654e-02
5.490588499163229913e-02,1.119350277893025811e-02
5.631372819654594658e-02,1.143464767647229229e-02
5.772157140145959403e-02,1.167352663359576270e-02
5.912941460637324148e-02,1.191014145338277659e-02
6.053725781128688893e-02,1.214449391993958904e-02
6.194510101620054332e-02,1.237658579846760698e-02
6.335294422111419077e-02,1.260641883533098091e-02
6.476078742602783822e-02,1.283399475812509877e-02
6.616863063094148567e-02,1.305931527574405449e-02
6.757647383585513312e-02,1.328238207844640965e-02
6.898431704076878057e-02,1.350319683792128300e-02
7.039216024568242802e-02,1.372176120735263578e-02
7.180000345059607547e-02,1.393807682148319287e-02
7.320784665550973680e-02,1.415214529667769769e-02
7.461568986042338425e-02,1.436396823098511771e-02
7.602353306533703170e-02,1.457354720419961995e-02
7.743137627025066527e-02,1.478088377792198017e-02
7.883921947516431272e-02,1.498597949561895383e-02
8.024706268007797405e-02,1.518883588268252031e-02
8.165490588499162150e-02,1.538945444648788172e-02
8.306274908990526895e-02,1.558783667645156738e-02
8.447059229481891640e-02,1.578398404408760947e-02
8.587843549973256385e-02,1.597789800306403593e-02
8.728627870464622518e-02,1.616957998925746057e-02
8.869412190955987263e-02,1.635903142080832179e-02
9.010196511447350620e-02,1.654625369817409528e-02
9.150980831938715365e-02,1.673124820418247713e-02
9.291765152430080110e-02,1.691401630408345333e-02
9.432549472921446243e-02,1.709455934560135879e-02
9.573333793412810988e-02,1.727287865898463962e-02
9.714118113904175733e-02,1.744897555705712811e-02
9.854902434395540478e-02,1.762285133526643455e-02
9.995686754886905223e-02,1.779450727173315441e-02
1.013647107537826997e-01,1.796394462729847957e-02
1.027725539586963471e-01,1.813116464557156318e-02
1.041803971636099946e-01,1.829616855297599640e-02
1.055882403685236420e-01,1.845895755879535527e-02
1.069960835734372895e-01,1.861953285521885521e-02
1.084039267783509508e-01,1.877789561738532273e-02
1.098117699832645983e-01,1.893404700342712910e-02
1.112196131881782457e-01,1.908798815451312123e-02
1.126274563930918932e-01,1.923972019489109814e-02
1.140352995980055267e-01,1.938924423192947208e-02
1.154431428029191881e-01,1.953656135615847514e-02
1.168509860078328355e-01,1.968167264131013075e-02
1.182588292127464830e-01,1.982457914435819743e-02
1.196666724176601304e-01,1.996528190555721741e-02
1.210745156225737779e-01,2.010378194848099279e-02
1.224823588274874392e-01,2.024008028005990986e-02
1.238902020324010866e-01,2.037417789061838486e-02
1.252980452373147202e-01,2.050607575391128271e-02
1.267058884422283815e-01,2.063577482715931236e-02
1.281137316471420151e-01,2.076327605108475166e-02
